Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235132
Palabra: alcoholic Frec: 6 LogProb: -10.524946906948145
Palabra: alert Frec: 66 LogProb: -8.266164436612492
Palabra: align Frec: 5 LogProb: -10.679097586775404
Palabra: alike Frec: 8 LogProb: -10.273632478667238
Palabra: alive Frec: 33 LogProb: -8.944496531387298
Palabra: allegedly Frec: 6 LogProb: -10.524946906948145
Palabra: allergies Frec: 7 LogProb: -10.391415514323622
Palabra: alleviate Frec: 10 LogProb: -10.072961783205088
Palabra: allocated Frec: 8 LogProb: -10.273632478667238
Palabra: allow Frec: 118 LogProb: -7.691733562891929
Palabra: allowed Frec: 82 LogProb: -8.05201644820686
Palabra: allowing Frec: 46 LogProb: -8.6207094542934
Palabra: allows Frec: 19 LogProb: -9.475124782449468
Palabra: almond Frec: 4 LogProb: -10.861419143569359
Palabra: aloe Frec: 8 LogProb: -10.273632478667238
Palabra: alonetogether Frec: 4 LogProb: -10.861419143569359
Palabra: alongside Frec: 8 LogProb: -10.273632478667238
Palabra: alot Frec: 7 LogProb: -10.391415514323622
Palabra: altering Frec: 5 LogProb: -10.679097586775404
Palabra: alternate Frec: 6 LogProb: -10.524946906948145
Palabra: alternative Frec: 23 LogProb: -9.292803225655513
Palabra: alternatives Frec: 7 LogProb: -10.391415514323622
Palabra: amazed Frec: 7 LogProb: -10.391415514323622
Palabra: amazing Frec: 100 LogProb: -7.855736539162199
Palabra: amazon Frec: 24 LogProb: -9.251981231135257
Palabra: ambulance Frec: 12 LogProb: -9.905907698541922
Palabra: amid Frec: 269 LogProb: -6.872435097005083
Palabra: amidst Frec: 44 LogProb: -8.664194566233139
Palabra: ammo Frec: 7 LogProb: -10.391415514323622
Palabra: amounts Frec: 22 LogProb: -9.335362840074309
Palabra: amp Frec: 2542 LogProb: -4.629757290581339
Palabra: ample Frec: 6 LogProb: -10.524946906948145
Palabra: amwriting Frec: 5 LogProb: -10.679097586775404
Palabra: analysis Frec: 34 LogProb: -8.915508994514045
Palabra: analyst Frec: 11 LogProb: -9.985950406215458
Palabra: analysts Frec: 8 LogProb: -10.273632478667238
Palabra: analytics Frec: 6 LogProb: -10.524946906948145
Palabra: analyzed Frec: 6 LogProb: -10.524946906948145
Palabra: angry Frec: 6 LogProb: -10.524946906948145
Palabra: animal Frec: 23 LogProb: -9.292803225655513
Palabra: animals Frec: 14 LogProb: -9.762806854901248
Palabra: announce Frec: 31 LogProb: -9.005121153203731
Palabra: announced Frec: 109 LogProb: -7.770376690211042
Palabra: announcement Frec: 26 LogProb: -9.17502018999913
Palabra: announcements Frec: 5 LogProb: -10.679097586775404
Palabra: announces Frec: 17 LogProb: -9.580485298107295
Palabra: announcing Frec: 14 LogProb: -9.762806854901248
Palabra: annual Frec: 11 LogProb: -9.985950406215458
Palabra: anonymous Frec: 4 LogProb: -10.861419143569359
Palabra: answer Frec: 53 LogProb: -8.481873009439184
Palabra: answered Frec: 16 LogProb: -9.637643711947241
Palabra: answering Frec: 5 LogProb: -10.679097586775404
Palabra: answers Frec: 28 LogProb: -9.103561226016984
Palabra: anti Frec: 10 LogProb: -10.072961783205088
Palabra: antibacterial Frec: 20 LogProb: -9.426334618280036
Palabra: antibodies Frec: 4 LogProb: -10.861419143569359
Palabra: anticipate Frec: 10 LogProb: -10.072961783205088
Palabra: anticipated Frec: 7 LogProb: -10.391415514323622
Palabra: anticipation Frec: 5 LogProb: -10.679097586775404
Palabra: antiviral Frec: 4 LogProb: -10.861419143569359
Palabra: anxiety Frec: 30 LogProb: -9.036869851518311
Palabra: anxious Frec: 19 LogProb: -9.475124782449468
Palabra: anybody Frec: 6 LogProb: -10.524946906948145
Palabra: anymore Frec: 19 LogProb: -9.475124782449468
Palabra: anytime Frec: 7 LogProb: -10.391415514323622
Palabra: anyways Frec: 5 LogProb: -10.679097586775404
Palabra: apart Frec: 70 LogProb: -8.208177178962142
