Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201014
Palabra: anxieties Frec: 7 LogProb: -10.251111660954443
Palabra: anxiety Frec: 100 LogProb: -7.7154326857930196
Palabra: anxious Frec: 25 LogProb: -9.072456664612798
Palabra: anybody Frec: 10 LogProb: -9.932657929835909
Palabra: anymore Frec: 17 LogProb: -9.440181444738116
Palabra: anytime Frec: 4 LogProb: -10.72111529020018
Palabra: apart Frec: 42 LogProb: -8.569353086940717
Palabra: apartment Frec: 8 LogProb: -10.13332862529806
Palabra: apocalypse Frec: 23 LogProb: -9.152499372286334
Palabra: apocalyptic Frec: 5 LogProb: -10.538793733406225
Palabra: apologize Frec: 4 LogProb: -10.72111529020018
Palabra: app Frec: 23 LogProb: -9.152499372286334
Palabra: appalled Frec: 7 LogProb: -10.251111660954443
Palabra: appalling Frec: 13 LogProb: -9.69149587301902
Palabra: apparel Frec: 6 LogProb: -10.384643053578966
Palabra: apparent Frec: 8 LogProb: -10.13332862529806
Palabra: apparently Frec: 25 LogProb: -9.072456664612798
Palabra: appeal Frec: 9 LogProb: -10.027968109640234
Palabra: appear Frec: 19 LogProb: -9.334820929080289
Palabra: appeared Frec: 4 LogProb: -10.72111529020018
Palabra: appearing Frec: 4 LogProb: -10.72111529020018
Palabra: appears Frec: 20 LogProb: -9.286030764910857
Palabra: appetite Frec: 4 LogProb: -10.72111529020018
Palabra: apples Frec: 6 LogProb: -10.384643053578966
Palabra: applied Frec: 5 LogProb: -10.538793733406225
Palabra: applies Frec: 5 LogProb: -10.538793733406225
Palabra: apply Frec: 17 LogProb: -9.440181444738116
Palabra: appointment Frec: 6 LogProb: -10.384643053578966
Palabra: appreciate Frec: 12 LogProb: -9.765603845172743
Palabra: appreciation Frec: 7 LogProb: -10.251111660954443
Palabra: approach Frec: 15 LogProb: -9.557964480394498
Palabra: approaches Frec: 5 LogProb: -10.538793733406225
Palabra: appropriate Frec: 11 LogProb: -9.84564655284628
Palabra: approve Frec: 8 LogProb: -10.13332862529806
Palabra: approved Frec: 15 LogProb: -9.557964480394498
Palabra: approximately Frec: 7 LogProb: -10.251111660954443
Palabra: apps Frec: 17 LogProb: -9.440181444738116
Palabra: ar Frec: 7 LogProb: -10.251111660954443
Palabra: area Frec: 80 LogProb: -7.93610404796184
Palabra: areas Frec: 50 LogProb: -8.398727569909953
Palabra: aren Frec: 20 LogProb: -9.286030764910857
Palabra: argos Frec: 4 LogProb: -10.72111529020018
Palabra: argue Frec: 11 LogProb: -9.84564655284628
Palabra: argued Frec: 5 LogProb: -10.538793733406225
Palabra: arguing Frec: 10 LogProb: -9.932657929835909
Palabra: arising Frec: 5 LogProb: -10.538793733406225
Palabra: armed Frec: 8 LogProb: -10.13332862529806
Palabra: arms Frec: 8 LogProb: -10.13332862529806
Palabra: army Frec: 13 LogProb: -9.69149587301902
Palabra: arrange Frec: 4 LogProb: -10.72111529020018
Palabra: arrest Frec: 19 LogProb: -9.334820929080289
Palabra: arrested Frec: 73 LogProb: -8.026488109430108
Palabra: arrests Frec: 4 LogProb: -10.72111529020018
Palabra: arrival Frec: 6 LogProb: -10.384643053578966
Palabra: arrive Frec: 8 LogProb: -10.13332862529806
